val,meta
0x1dc6074361a3cddee55a61c92bcf7de1667e1096,4021052.00119398
0x42c8e43048f6ff3586945a1fd23e0bec540dcd07,4047674.80614064
0xc69579edafabcda360936acb11043a555eb86b34,4062769.48213131
0xb806dfcb1683854305faef6c175398635fcbeb14,4066048.56551031
0x724747c9d1e2c7c2d3fc4e47965dc5b4aa628108,4068163.09794423
0xfd245eb623ca59617cfc22b9d02ed98feff10a84,4104432.41450723
0xd3957ff9f8c697ea4db2820d569bb895ee13a54c,4150958.67209977
0xd3c39cba6d3afb3d304703f085fc7a8249576c18,4157398.35073131
0x3fd49a8f37e2349a29ea701b56f10f03b08f1532,4201473.22912537
0x6264b7f05facadaf24b71a96e1df3f46a654b799,4217591.20370502
0x0d6135b2cfbae3b1c58368a93b855fa54fa5aae1,4250600.6116094
0xad69de0ce8ab50b729d3f798d7bc9ac7b4e79267,4275570.88149942
0x367a739ccc69940af740590a7d533ef8f96f282a,4284179.46183388
0x995a09ed0b24ee13fbfcfbe60cad2fb6281b479f,4300410.86319356
0x058b10cbe1872ad139b00326686ee8ccef274c58,4330274.92948282
0x3480a76f8774f3fdd6ce625ce657ef11a9b11616,4428804.87845228
0x6946b0527421b72df7a5f0c0c7a1474219684e8f,4435011.77132178
0x2f606b9562e313f93891956b08be8aca3a750d9d,4441039.37321183
0xa937f63ba1d69fd7e022fd50628b6d8fcfbde52d,4461894.29858935
0xab92fca834aac2afe16cf6a2fc60cc7a864a77a5,4509489.8018131
0x9a1c56fb30024ed08b9c520b3d6aec28768bc001,4622162.39076364
0x4b441cd7c5085d0c255eff3db7ec3417cca1a1a0,4686459.84820621
0x354304234329a8d2425965c647e701a72d3438e5,4764923.0081118
0x0773ba87a7e1df71c547ee75b1fea7cd9749e619,4777968.65979524
0x92d385172c6ec14ed5a670a8148db3fd70f62a40,4797561.88600162
0x98b221a032f525a9fa2107182b06630e4a7aab89,4858640.67710117
0x0ffeb87106910eefc69c1902f411b431ffc424ff,4883086.13003265
0x45533541aac25030b5d438e37cec18e73b545310,4952005.11180085
